event_kind,event_id,event_type,stage,start_utc,end_utc,duration_seconds,session_id,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,match_method,match_delta_seconds,match_candidate_count,match_ambiguity,done,passed,request_attention,final_status,note
phase,initial-planning,planning,planning,2026-07-17T13:03:45Z,2026-07-17T14:51:06Z,6441.0,,0,0,0,0,0,,,,,,,,,Project creation to first worker dispatch; includes clarification and contract planning.
attempt,work-source-population,work,population_and_retrieval,2026-07-17T14:51:06Z,2026-07-17T15:21:04.394000Z,1791.271,session-004,15512832,15127552,45659,10803,15558491,task_id_and_time,3.828,1,not_ambiguous,True,,False,cleared,2026-07-17T14-51-06Z-0000__work-source-population.json
attempt,work-strata-provenance,work,population_and_retrieval,2026-07-17T15:21:05Z,2026-07-17T15:22:53.624000Z,102.618,session-005,318041,257280,2249,478,320290,time_only_unique,3.403,1,not_ambiguous,False,,False,superseded,2026-07-17T15-21-05Z-0000__work-strata-provenance.json
decision,001-retry,retry,orchestration,2026-07-17T15:37:35Z,2026-07-17T15:37:35Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=0; add_contracts=0; supersede=0; cancel=0
attempt,work-strata-provenance,work,population_and_retrieval,2026-07-17T15:37:48Z,2026-07-17T15:45:27.572000Z,452.309,session-006,2889994,2663168,10315,2799,2900309,task_id_and_time,4.817,1,not_ambiguous,False,,False,superseded,2026-07-17T15-37-48Z-0000__work-strata-provenance.json
decision,002-retry,retry,orchestration,2026-07-17T17:21:29Z,2026-07-17T17:21:29Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=0; add_contracts=0; supersede=0; cancel=0
attempt,work-strata-provenance,work,population_and_retrieval,2026-07-17T17:21:39Z,2026-07-17T17:24:52.959000Z,185.429,session-007,453341,362240,3171,556,456512,task_id_and_time,4.172,1,not_ambiguous,False,,False,superseded,2026-07-17T17-21-39Z-0000__work-strata-provenance.json
decision,003-patch,patch,orchestration,2026-07-17T17:26:44Z,2026-07-17T17:26:44Z,0,,0,0,0,0,0,,,,,,,,,add_tasks=2; add_contracts=0; supersede=1; cancel=0
attempt,work-strata-surface-discovery,work,population_and_retrieval,2026-07-17T17:26:56Z,2026-07-17T18:02:59.282000Z,2155.591,session-008,6985850,6623488,40689,9234,7026539,time_only_unique,3.389,1,not_ambiguous,True,,False,cleared,2026-07-17T17-26-56Z-0000__work-strata-surface-discovery.json
attempt,work-strata-provenance-v2,work,population_and_retrieval,2026-07-17T18:02:59Z,2026-07-17T18:31:52.300000Z,1726.292,session-009,6797402,6246400,35288,7875,6832690,time_only_unique,3.865,1,not_ambiguous,True,,False,cleared,2026-07-17T18-02-59Z-0000__work-strata-provenance-v2.json
