start_utc,end_utc,duration_seconds
2026-07-18T01:36:56.513000Z,2026-07-18T09:14:09.855000Z,27433.342
2026-07-19T04:30:42.420000Z,2026-07-19T09:53:21.572000Z,19359.152
2026-07-18T09:44:02.127000Z,2026-07-18T12:04:32.434000Z,8430.307
2026-07-17T13:03:45Z,2026-07-17T14:51:13.123000Z,6448.123
2026-07-17T15:45:27.572000Z,2026-07-17T17:21:47.530000Z,5779.958
2026-07-19T01:01:32.760000Z,2026-07-19T02:10:05.691000Z,4112.931
2026-07-18T15:33:58.471000Z,2026-07-18T16:33:46.444000Z,3587.973
2026-07-18T18:26:37.957000Z,2026-07-18T19:04:10.567000Z,2252.61
2026-07-19T02:48:49.330000Z,2026-07-19T03:20:09.746000Z,1880.416
2026-07-18T23:03:55.985000Z,2026-07-18T23:33:16.552000Z,1760.567
2026-07-19T14:43:02.978000Z,2026-07-19T15:11:55.167000Z,1732.189
2026-07-18T19:20:07.423000Z,2026-07-18T19:47:48.488000Z,1661.065
2026-07-19T13:39:59.725000Z,2026-07-19T14:07:12.773000Z,1633.048
2026-07-17T20:39:09.471000Z,2026-07-17T21:05:59.627000Z,1610.156
2026-07-19T10:46:21.510000Z,2026-07-19T11:12:08.679000Z,1547.169
2026-07-19T12:02:16.064000Z,2026-07-19T12:26:05.680000Z,1429.616
2026-07-19T12:44:15.971000Z,2026-07-19T13:08:00.029000Z,1424.058
2026-07-18T21:51:02.336000Z,2026-07-18T22:12:49.786000Z,1307.45
2026-07-18T21:07:08.311000Z,2026-07-18T21:27:13.308000Z,1204.997
2026-07-18T00:19:27.181000Z,2026-07-18T00:38:46.994000Z,1159.813
2026-07-19T11:23:35.349000Z,2026-07-19T11:42:37.354000Z,1142.005
2026-07-17T15:22:53.624000Z,2026-07-17T15:37:55.263000Z,901.639
2026-07-17T21:27:39.855000Z,2026-07-17T21:41:52.811000Z,852.956
2026-07-18T15:09:41.461000Z,2026-07-18T15:21:05.901000Z,684.44
2026-07-18T17:58:09.841000Z,2026-07-18T18:09:13.011000Z,663.17
2026-07-17T21:50:18.888000Z,2026-07-17T22:00:56.806000Z,637.918
2026-07-18T20:41:20.286000Z,2026-07-18T20:48:41.661000Z,441.375
2026-07-18T14:28:01.404000Z,2026-07-18T14:31:53.390000Z,231.986
2026-07-18T13:19:09.153000Z,2026-07-18T13:22:20.982000Z,191.829
2026-07-18T12:16:31.963000Z,2026-07-18T12:19:28.958000Z,176.995
2026-07-18T17:39:40.633000Z,2026-07-18T17:42:26.882000Z,166.249
2026-07-18T01:26:47.855000Z,2026-07-18T01:29:27.968000Z,160.113
2026-07-18T13:39:23.258000Z,2026-07-18T13:41:47.184000Z,143.926
2026-07-17T17:24:52.959000Z,2026-07-17T17:27:03.691000Z,130.732
2026-07-19T04:03:10.282000Z,2026-07-19T04:04:42.655000Z,92.373
2026-07-19T15:19:42.235000Z,2026-07-19T15:21:14.002000Z,91.767
2026-07-19T15:27:20.864000Z,2026-07-19T15:28:41.346000Z,80.482
2026-07-18T16:49:26.688000Z,2026-07-18T16:50:36.936000Z,70.248
2026-07-18T16:35:44.692000Z,2026-07-18T16:36:50.559000Z,65.867
2026-07-19T15:35:39.273000Z,2026-07-19T15:36:09Z,29.727
2026-07-18T01:02:48.409000Z,2026-07-18T01:02:58.833000Z,10.424
2026-07-17T23:41:09.766000Z,2026-07-17T23:41:19.631000Z,9.865
2026-07-18T16:45:45.439000Z,2026-07-18T16:45:53.657000Z,8.218
2026-07-18T12:44:29.446000Z,2026-07-18T12:44:36.802000Z,7.356
2026-07-19T14:19:57.227000Z,2026-07-19T14:20:04.537000Z,7.31
2026-07-17T22:28:07.592000Z,2026-07-17T22:28:14.692000Z,7.1
2026-07-19T13:18:35.425000Z,2026-07-19T13:18:42.378000Z,6.953
2026-07-18T20:20:10.919000Z,2026-07-18T20:20:17.795000Z,6.876
2026-07-17T19:01:42.709000Z,2026-07-17T19:01:49.512000Z,6.803
2026-07-17T22:51:02.655000Z,2026-07-17T22:51:09.388000Z,6.733
2026-07-17T18:02:59.282000Z,2026-07-17T18:03:06.008000Z,6.726
2026-07-18T17:18:58.703000Z,2026-07-18T17:19:05.422000Z,6.719
2026-07-17T18:31:52.300000Z,2026-07-17T18:31:58.970000Z,6.67
2026-07-18T19:56:14.537000Z,2026-07-18T19:56:21.190000Z,6.653
2026-07-19T10:24:01.734000Z,2026-07-19T10:24:08.373000Z,6.639
2026-07-19T03:44:11.698000Z,2026-07-19T03:44:18.336000Z,6.638
2026-07-17T15:21:04.394000Z,2026-07-17T15:21:11.006000Z,6.612
2026-07-19T04:18:09.882000Z,2026-07-19T04:18:16.417000Z,6.535
2026-07-18T14:06:39.596000Z,2026-07-18T14:06:45.722000Z,6.126
2026-07-18T17:02:39.909000Z,2026-07-18T17:02:45.142000Z,5.233
2026-07-18T12:56:38.600000Z,2026-07-18T12:56:43.272000Z,4.672
